Period,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,blin,b1,b2,BC_c1,BC_c2,BC_c3,BC_c4,BC_c5,BC_c6,BC_c7,BC_c8,BC_c9,BC_c10,delta,M1,Mh
0.01,9.07E-01,9.83E-01,-6.60E-02,-2.70E+00,1.59E-01,-2.80E+00,2.12E-01,-3.01E-01,-6.53E-02,-4.48E-04,-0.361,-0.641,-0.144,0.523000,0.969000,-0.062000,-2.440000,0.147000,-2.340000,0.191000,-0.087000,-0.082900,-0.000630,0.15,0.5,5.5
0.025,1.52E+00,9.60E-01,-6.35E-02,-2.81E+00,1.46E-01,-3.65E+00,2.36E-01,-6.54E-01,-5.50E-02,-4.85E-05,-0.33,-0.624,-0.115,1.050000,0.903000,-0.057700,-2.570000,0.148000,-2.650000,0.207000,-0.408000,-0.057700,-0.000512,0.15,0,5
0.031,1.44E+00,9.59E-01,-6.28E-02,-2.71E+00,1.40E-01,-3.73E+00,2.34E-01,-5.43E-01,-6.45E-02,-3.23E-05,-0.322,-0.618,-0.108,1.190000,0.888000,-0.056400,-2.580000,0.145000,-2.840000,0.212000,-0.437000,-0.058700,-0.000433,0.15,0,5
0.04,1.26E+00,9.68E-01,-6.23E-02,-2.58E+00,1.32E-01,-3.64E+00,2.28E-01,-3.51E-01,-8.13E-02,-1.23E-04,-0.314,-0.609,-0.105,1.260000,0.879000,-0.055200,-2.540000,0.139000,-2.990000,0.216000,-0.391000,-0.067500,-0.000388,0.15,0,5
0.05,1.11E+00,9.72E-01,-6.20E-02,-2.47E+00,1.28E-01,-3.39E+00,2.14E-01,-1.39E-01,-9.84E-02,-3.17E-04,-0.286,-0.643,-0.105,1.210000,0.883000,-0.054400,-2.440000,0.130000,-3.040000,0.213000,-0.210000,-0.090000,-0.000415,0.15,0,5
0.063,9.11E-01,9.80E-01,-6.21E-02,-2.36E+00,1.26E-01,-2.97E+00,1.91E-01,1.07E-01,-1.17E-01,-5.79E-04,-0.249,-0.642,-0.105,1.110000,0.888000,-0.053900,-2.330000,0.123000,-2.880000,0.201000,-0.031900,-0.107000,-0.000548,0.15,0.17,5.17
0.079,6.91E-01,9.97E-01,-6.28E-02,-2.26E+00,1.25E-01,-2.49E+00,1.64E-01,2.14E-01,-1.21E-01,-8.47E-04,-0.232,-0.637,-0.117,0.967000,0.903000,-0.054800,-2.250000,0.122000,-2.530000,0.178000,0.100000,-0.115000,-0.000772,0.15,0.34,5.34
0.1,4.80E-01,1.02E+00,-6.40E-02,-2.20E+00,1.27E-01,-2.01E+00,1.33E-01,3.37E-01,-1.27E-01,-1.05E-03,-0.25,-0.595,-0.132,0.782000,0.924000,-0.055600,-2.170000,0.119000,-2.100000,0.148000,0.285000,-0.132000,-0.000990,0.15,0.5,5.5
0.125,2.14E-01,1.05E+00,-6.66E-02,-2.15E+00,1.30E-01,-1.61E+00,1.05E-01,4.27E-01,-1.30E-01,-1.15E-03,-0.26,-0.56,-0.14,0.536000,0.965000,-0.058400,-2.110000,0.121000,-1.670000,0.116000,0.343000,-0.132000,-0.001130,0.15,1.15,5.67
0.158,-1.46E-01,1.12E+00,-7.14E-02,-2.12E+00,1.30E-01,-1.30E+00,8.31E-02,5.62E-01,-1.44E-01,-1.18E-03,-0.28,-0.528,-0.185,0.119000,1.060000,-0.064700,-2.050000,0.119000,-1.360000,0.091600,0.516000,-0.150000,-0.001180,0.15,1.85,5.84
