Period,Vlin,b,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12,theta13,theta14,theta15,theta16,fi,tau,sigma,sigmaSS,n,c,C4,Delta_C1_Lower,Delta_C1_Central,Delta_C1_Upper
0.01,865.1,-1.186,4.2203,-1.35,0.1,0.9,0,-0.0012,1.0988,-1.42,0.4,3.12,0.013,0.98,-0.0135,-0.4,0.9969,-1,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.02,865.1,-1.186,4.2203,-1.35,0.1,0.9,0,-0.0012,1.0988,-1.42,0.4,3.12,0.013,0.98,-0.0135,-0.4,0.9969,-1,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.05,1053.5,-1.346,4.5371,-1.4,0.1,0.9,0,-0.0012,1.2536,-1.65,0.4,3.37,0.013,1.288,-0.0138,-0.4,1.103,-1.18,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.075,1085.7,-1.471,5.0733,-1.45,0.1,0.9,0,-0.0012,1.4175,-1.8,0.4,3.37,0.013,1.483,-0.0142,-0.4,1.2732,-1.36,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.1,1032.5,-1.624,5.2892,-1.45,0.1,0.9,0,-0.0012,1.3997,-1.8,0.4,3.33,0.013,1.613,-0.0145,-0.4,1.3042,-1.36,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.15,877.6,-1.931,5.4563,-1.45,0.1,0.9,0,-0.0014,1.3582,-1.69,0.4,3.25,0.013,1.882,-0.0153,-0.4,1.26,-1.3,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.2,748.2,-2.188,5.2684,-1.4,0.1,0.9,0,-0.0018,1.1648,-1.49,0.4,3.03,0.0129,2.076,-0.0162,-0.35,1.223,-1.25,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.25,654.3,-2.381,5.0594,-1.35,0.1,0.9,0,-0.0023,0.994,-1.3,0.4,2.8,0.0129,2.248,-0.0172,-0.31,1.16,-1.17,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.3,587.1,-2.518,4.7945,-1.28,0.1,0.9,0,-0.0027,0.8821,-1.18,0.4,2.59,0.0128,2.348,-0.0183,-0.28,1.05,-1.06,0.6,0.43,0.74,0.6,1.18,1.88,10,0,0.2,0.4
0.4,503,-2.657,4.4644,-1.18,0.1,0.9,0,-0.0035,0.7046,-0.98,0.4,2.2,0.0127,2.427,-0.0206,-0.23,0.8,-0.78,0.6,0.43,0.74,0.6,1.18,1.88,10,-0.05,0.15,0.35
0.5,456.6,-2.669,4.0181,-1.08,0.1,0.9,0,-0.0044,0.5799,-0.82,0.4,1.92,0.0125,2.399,-0.0231,-0.19,0.662,-0.62,0.6,0.43,0.74,0.6,1.18,1.88,10,-0.1,0.1,0.3
0.6,430.3,-2.599,3.6055,-0.99,0.1,0.9,0,-0.005,0.5021,-0.7,0.4,1.7,0.0124,2.273,-0.0256,-0.16,0.58,-0.5,0.6,0.43,0.74,0.6,1.18,1.88,10,-0.133,0.067,0.267
0.75,410.5,-2.401,3.2174,-0.91,0.1,0.9,0,-0.0058,0.3687,-0.54,0.4,1.42,0.012,1.993,-0.0296,-0.12,0.48,-0.34,0.6,0.43,0.74,0.6,1.18,1.88,10,-0.167,0.033,0.233
1,400,-1.955,2.7981,-0.85,0.1,0.9,0,-0.0062,0.1746,-0.34,0.4,1.1,0.0114,1.47,-0.0363,-0.07,0.33,-0.14,0.6,0.43,0.74,0.6,1.18,1.88,10,-0.2,0,0.2
1.5,400,-1.025,2.0123,-0.77,0.1,0.9,0,-0.0064,-0.082,-0.05,0.4,0.7,0.01,0.408,-0.0493,0,0.31,0,0.6,0.43,0.74,0.6,1.18,1.88,10,-0.25,-0.05,0.15
