Frequency,c0,c1,c2,c3,c4,sigma_total
0.1,2.338,-0.6311,0,0.5357,-0.0737,0.38
0.13,2.489,-0.6412,-0.00003,0.476,-0.0629,0.35
0.16,2.569,-0.6048,-0.00024,0.4324,-0.0641,0.34
0.2,2.671,-0.5942,-0.0004,0.3822,-0.0417,0.32
0.25,2.814,-0.6108,-0.00046,0.349,-0.0299,0.3
0.32,2.978,-0.6431,-0.00057,0.3258,-0.0103,0.3
0.4,3.104,-0.6585,-0.00063,0.299,-0.0074,0.3
0.5,3.241,-0.6741,-0.00081,0.2696,-0.0064,0.3
0.63,3.393,-0.7101,-0.00089,0.2483,0.0103,0.29
0.79,3.453,-0.6885,-0.00119,0.2417,0.0125,0.29
1,3.621,-0.7376,-0.00128,0.2116,0.0328,0.29
1.26,3.733,-0.7473,-0.00159,0.2035,0.0292,0.28
1.58,3.859,-0.7746,-0.00179,0.201,0.0153,0.28
2,3.999,-0.8211,-0.00195,0.187,0.0271,0.27
2.5,4.167,-0.8854,-0.00211,0.1802,0.0258,0.27
3.16,4.303,-0.9322,-0.00231,0.1713,0.027,0.27
4,4.472,-1.0133,-0.00234,0.1713,0.0255,0.27
5,4.746,-1.1691,-0.00212,0.1593,0.0432,0.27
6.3,4.93,-1.2671,-0.00204,0.1645,0.0301,0.27
8,5.209,-1.4404,-0.00163,0.1788,0.0151,0.27
10,5.49,-1.6257,-0.00115,0.1736,0.0261,0.27
12.6,5.676,-1.7633,-0.00071,0.1784,0.0245,0.27
15.85,5.823,-1.8889,-0.00022,0.1845,0.016,0.26
20,5.843,-1.9391,0,0.1813,0.0199,0.26
100,5.006,-1.5573,-0.00034,0.1774,0.0827,0.24
