Period,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,sigma,C0_d,C1_d,C2_d,C3_d,C4_d,C5_d,C6_d,C7_d,C8_d,C9_d,C10_d,C11_d,sigma_d
0.01,3.259,0.505,-0.069,-1.839,0.158,1.247,-0.204,-0.044,-5.1,-2.862,0.251,-0.639,0.412,3.383,0.604,-0.091,-1.929,0.175,1.429,-0.182,-0.013,-4.699,-3.149,0.316,-0.765,0.365
0.02,3.368,0.496,-0.062,-1.808,0.136,1.247,-0.486,0.017,-4.677,-2.865,0.244,-0.776,0.438,3.557,0.59,-0.086,-1.94,0.162,2.186,-0.455,0.034,-4.863,-3.093,0.305,-1.284,0.39
0.03,3.511,0.471,-0.06,-1.852,0.142,1.434,-0.545,0.015,-4.983,-2.849,0.25,-1.103,0.431,3.707,0.528,-0.084,-1.973,0.186,0.967,-0.455,0.002,-4.683,-3.285,0.393,-1.26,0.384
0.05,3.545,0.477,-0.063,-1.837,0.14,1.459,-0.489,-0.011,-5.109,-3.073,0.301,-1.178,0.399,3.739,0.546,-0.084,-1.937,0.165,1.74,-0.44,0.001,-4.337,-3.478,0.418,-1.128,0.356
0.08,3.516,0.492,-0.068,-1.806,0.142,1.418,-0.341,-0.043,-4.994,-3.251,0.309,-0.904,0.381,3.672,0.584,-0.089,-1.888,0.158,0.656,-0.299,-0.033,-4.186,-3.553,0.398,-1.194,0.339
0.1,3.458,0.515,-0.073,-1.774,0.142,1.375,-0.216,-0.061,-4.849,-3.284,0.274,-0.467,0.372,3.579,0.627,-0.097,-1.848,0.157,-0.122,-0.164,-0.058,-4.049,-3.517,0.345,-1.087,0.332
0.15,3.296,0.58,-0.082,-1.7,0.131,1.286,-0.062,-0.067,-4.641,-3.123,0.158,0.538,0.364,3.378,0.728,-0.113,-1.78,0.148,1.127,-0.009,-0.045,-3.626,-3.284,0.185,-0.325,0.327
0.2,3.136,0.642,-0.092,-1.648,0.127,1.214,0.072,-0.08,-4.663,-2.936,0.106,1.089,0.359,3.183,0.821,-0.128,-1.733,0.144,2.006,0.123,-0.043,-3.487,-3.059,0.108,-0.016,0.325
0.25,2.998,0.692,-0.101,-1.615,0.13,1.159,0.207,-0.105,-4.828,-2.789,0.112,1.256,0.358,3.004,0.899,-0.143,-1.701,0.148,1.902,0.26,-0.063,-3.599,-2.884,0.106,-0.177,0.325
0.3,2.872,0.736,-0.11,-1.593,0.135,1.121,0.317,-0.126,-4.911,-2.678,0.132,1.193,0.356,2.843,0.963,-0.156,-1.679,0.154,1.532,0.369,-0.084,-3.751,-2.75,0.124,-0.478,0.325
0.4,2.623,0.818,-0.124,-1.565,0.14,1.082,0.432,-0.128,-4.484,-2.539,0.137,0.621,0.354,2.55,1.065,-0.172,-1.652,0.159,1.227,0.461,-0.095,-3.856,-2.56,0.13,-0.996,0.325
0.5,2.398,0.889,-0.134,-1.548,0.14,1.07,0.468,-0.104,-3.733,-2.461,0.114,-0.111,0.352,2.303,1.139,-0.181,-1.637,0.16,1.367,0.462,-0.083,-3.79,-2.437,0.109,-1.334,0.323
0.75,1.944,1.011,-0.147,-1.527,0.14,1.05,0.481,-0.088,-3.243,-2.413,0.121,-1.055,0.35,1.822,1.248,-0.186,-1.615,0.158,1.708,0.453,-0.077,-3.632,-2.381,0.117,-1.557,0.319
1,1.616,1.078,-0.151,-1.522,0.145,1.025,0.484,-0.121,-3.942,-2.442,0.187,-1.13,0.349,1.479,1.297,-0.182,-1.603,0.157,1.706,0.487,-0.101,-3.612,-2.471,0.182,-1.411,0.318
1.5,1.193,1.102,-0.142,-1.54,0.16,1.009,0.504,-0.159,-4.242,-2.499,0.256,-0.703,0.349,1.071,1.274,-0.161,-1.626,0.173,1.651,0.526,-0.135,-3.723,-2.564,0.248,-0.982,0.316
2,0.929,1.074,-0.126,-1.564,0.175,1.016,0.522,-0.164,-3.762,-2.526,0.267,-0.293,0.348,0.841,1.206,-0.139,-1.664,0.194,1.66,0.539,-0.148,-3.764,-2.581,0.261,-0.654,0.314
3,0.574,1.011,-0.095,-1.588,0.185,1.048,0.514,-0.158,-3.784,-2.536,0.268,-0.054,0.347,0.534,1.096,-0.105,-1.707,0.218,1.616,0.598,-0.167,-3.16,-2.707,0.309,-0.405,0.311
4,0.34,0.954,-0.071,-1.604,0.189,1.071,0.509,-0.158,-4.199,-2.565,0.286,-0.108,0.346,0.284,1.098,-0.108,-1.713,0.215,1.381,0.569,-0.182,-4.105,-2.797,0.367,0.177,0.345
