Frequency,Period,c0,c1,c2,c3,sigma,Cascadia_Multi_factor_log
0.11,9.09,2.985,-,-0.00019,-0.413,0.175,1.00 (0.000)
0.14,7.14,3.122,-,-0.00019,-0.462,0.201,1.00 (0.000)
0.17,5.88,3.232,-,-0.00027,-0.491,0.218,1.00 (0.000)
0.22,4.55,3.351,-0.00005,-0.0004,-0.561,0.237,1.03 (0.013)
0.27,3.7,3.502,-0.00023,-0.00057,-0.574,0.252,1.11 (0.044)
0.33,3.03,3.657,-0.00039,-0.00075,-0.554,0.264,1.20 (0.079)
0.41,2.44,3.829,-0.00059,-0.00097,-0.513,0.275,1.35 (0.129)
0.52,1.92,3.99,-0.00086,-0.00125,-0.518,0.285,1.49 (0.174)
0.64,1.56,4.105,-0.00112,-0.00152,-0.578,0.274,1.38 (0.139)
0.8,1.25,4.214,-0.00133,-0.00177,-0.646,0.261,1.23 (0.089)
0.99,1.01,4.336,-0.00158,-0.00205,-0.69,0.249,1.05 (0.021)
1.23,0.81,4.464,-0.00183,-0.00234,-0.705,0.249,1.03 (0.014)
1.53,0.65,4.587,-0.002,-0.00262,-0.672,0.257,1.03 (0.011)
1.9,0.53,4.706,-0.00213,-0.0029,-0.606,0.276,1.02 (0.007)
2.37,0.42,4.82,-0.00224,-0.00315,-0.52,0.295,1.00 (0.002)
2.94,0.34,4.907,-0.00231,-0.00333,-0.438,0.307,0.90 (-0.046)
3.66,0.27,4.958,-0.00233,-0.00346,-0.386,0.312,0.77 (-0.114)
4.55,0.22,5.015,-0.00235,-0.00355,-0.289,0.31,0.66 (-0.183)
5.66,0.18,5.051,-0.00235,-0.00358,-0.18,0.312,0.58 (-0.237)
7.04,0.14,5.072,-0.0024,-0.00357,-0.082,0.324,0.53 (-0.272)
8.75,0.11,5.082,-0.00245,-0.00356,0.01,0.329,0.48 (-0.319)
10.88,0.09,5.022,-0.00244,-0.00346,0.027,0.326,0.44 (-0.357)
13.53,0.07,4.888,-0.00236,-0.00329,-0.046,0.313,0.44 (-0.357)
PGA,0.01,4.646,-0.00219,-0.00298,-0.219,0.284,0.50 (-0.301)
PGV,-1,3.39,-0.0007,-0.00099,-0.331,0.195,1.00 (0.000)
