Period,sII,sIII,sIV,sV,sVI,c3,c5,delta_c3,sigma_r,c1,c2,c9,c8,delta_c1,delta_c2,sigma_e,sigma_t
0.01,-0.584,-0.322,-0.109,-0.095,-0.212,-0.9756,-0.0017,-0.5275,0.2320,-2.8548,0.7741,-0.0396,0.0059,2.5699,-0.4761,0.1720,0.2890
0.02,-0.459,-0.208,-0.092,-0.089,-0.177,-1.0857,-0.0018,-0.4804,0.2330,-2.8337,0.8383,-0.0433,0.0058,2.9087,-0.5640,0.1760,0.2920
0.03,-0.39,-0.16,-0.085,-0.088,-0.164,-1.1595,-0.0018,-0.4249,0.2350,-2.8235,0.8838,-0.0460,0.0059,3.0735,-0.6227,0.1780,0.2950
0.05,-0.306,-0.088,-0.075,-0.09,-0.146,-1.2864,-0.0018,-0.3124,0.2410,-2.7358,0.9539,-0.0503,0.0062,3.2147,-0.7079,0.1900,0.3070
0.07,-0.351,-0.056,-0.069,-0.096,-0.141,-1.3464,-0.0018,-0.1800,0.2510,-2.6004,0.9808,-0.0523,0.0060,3.0851,-0.7425,0.2130,0.3290
0.1,-0.524,-0.087,-0.07,-0.113,-0.156,-1.3235,-0.0018,-0.1321,0.2550,-2.4891,0.9544,-0.0506,0.0057,2.8091,-0.7055,0.1950,0.3210
0.15,-0.691,-0.336,-0.095,-0.166,-0.245,-1.1769,-0.0018,-0.2645,0.2550,-2.6505,0.9232,-0.0488,0.0056,2.6260,-0.6270,0.1600,0.3020
0.2,-0.671,-0.547,-0.127,-0.209,-0.359,-1.0451,-0.0018,-0.3911,0.2680,-3.0096,0.9426,-0.0503,0.0057,2.6063,-0.5976,0.1570,0.3100
0.25,-0.584,-0.674,-0.178,-0.235,-0.444,-0.9436,-0.0018,-0.3435,0.2640,-3.3321,0.9578,-0.0514,0.0051,2.3654,-0.5820,0.1420,0.2990
0.3,-0.506,-0.73,-0.258,-0.234,-0.491,-0.8481,-0.0017,-0.3670,0.2600,-3.5422,0.9441,-0.0505,0.0043,2.2017,-0.5412,0.1410,0.2960
0.4,-0.386,-0.718,-0.423,-0.164,-0.535,-0.6928,-0.0017,-0.4630,0.2630,-3.3985,0.7773,-0.0389,0.0031,1.6367,-0.3448,0.1570,0.3060
0.5,-0.3,-0.635,-0.537,-0.11,-0.557,-0.5790,-0.0016,-0.5410,0.2610,-2.8041,0.5069,-0.0197,0.0026,0.7621,-0.0617,0.1520,0.3020
0.75,-0.276,-0.395,-0.575,-0.358,-0.599,-0.5689,-0.0016,-0.4627,0.2520,-4.4588,0.8691,-0.0418,0.0014,2.1003,-0.4349,0.1460,0.2910
1,-0.275,-0.254,-0.462,-0.67,-0.584,-0.5328,-0.0015,-0.4231,0.2470,-5.3391,1.0167,-0.0500,0.0005,2.5610,-0.5678,0.1530,0.2900
1.5,-0.249,-0.238,-0.3,-0.801,-0.522,-0.4626,-0.0015,-0.5852,0.2460,-6.1204,1.1005,-0.0543,0.0007,2.8923,-0.5898,0.1520,0.2890
2,-0.218,-0.231,-0.22,-0.746,-0.479,-0.4059,-0.0014,-0.6600,0.2450,-7.0334,1.2501,-0.0636,0.0005,3.3941,-0.7009,0.1570,0.2910
3,-0.18,-0.219,-0.21,-0.628,-0.461,-0.3396,-0.0014,-0.7900,0.2310,-8.2507,1.4652,-0.0780,0.0007,4.0033,-0.8465,0.1550,0.2790
4,-0.171,-0.218,-0.212,-0.531,-0.448,-0.2648,-0.0014,-0.8655,0.2280,-8.7433,1.4827,-0.0786,0.0006,3.9337,-0.8134,0.1600,0.2790
5,-0.168,-0.218,-0.203,-0.438,-0.439,-0.2233,-0.0014,-0.8874,0.2320,-8.9927,1.4630,-0.0764,0.0007,3.7576,-0.7642,0.1670,0.2860
7.5,-0.168,-0.218,-0.153,-0.256,-0.435,-0.3035,-0.0013,-0.9126,0.2310,-9.8245,1.6383,-0.0862,0.0011,4.3948,-0.9313,0.1640,0.2830
10,-0.168,-0.218,-0.125,-0.231,-0.435,-0.3377,-0.0012,-0.9636,0.2040,-9.8671,1.5877,-0.0817,0.0001,4.3875,-0.8892,0.1760,0.2700
