Period,C1,C2,C3,C4,C5,C6,C7,C8,sigma
0.01,1.5456,1.4565,-1.1151,0.1664,-0.00567,-1.049,1.0553,0.2,0.5513
0.02,2.338,1.3806,-1.2297,0.1801,-0.00467,-1.3985,0.9599,0.2013,0.551
0.03,2.4809,1.3754,-1.1762,0.1712,-0.00542,-1.3872,0.9693,0.1928,0.5508
0.04,2.3145,1.6025,-1.126,0.1715,-0.00629,-1.2791,1.0704,0.2356,0.5509
0.05,2.2686,1.5584,-1.0734,0.1471,-0.00709,-1.0891,1.1075,0.2067,0.551
0.075,1.9707,1.6803,-1.0154,0.1456,-0.00737,-0.9193,1.1829,0.2217,0.5514
0.1,1.7103,1.7507,-0.9933,0.1382,-0.00746,-0.7814,1.2939,0.2379,0.5529
0.15,1.5231,1.6916,-0.9631,0.1333,-0.00713,-0.6733,1.2243,0.2102,0.5544
0.2,1.3683,1.5794,-0.9472,0.1364,-0.00677,-0.6269,1.1776,0.1895,0.5558
0.25,1.4018,1.2894,-0.9441,0.1436,-0.00617,-0.6707,1.0561,0.1459,0.5583
0.3003,1.45,1.0463,-0.9488,0.1476,-0.00581,-0.687,0.9404,0.1104,0.5602
0.4,1.4415,0.9282,-0.9183,0.1132,-0.00576,-0.5952,0.8628,0.0406,0.5614
0.5,1.4038,0.6916,-0.9101,0.1348,-0.00557,-0.6239,0.7123,0.0062,0.5636
0.75,1.5084,0.758,-0.9901,0.1126,-0.00458,-0.6904,0.6859,-0.0563,0.5878
1,2.1063,0.3818,-1.0868,0.0795,-0.00406,-0.9034,0.6185,-0.1825,0.6817
1.4993,2.5579,-0.8427,-0.8181,0.0765,-0.0022,-1.3532,-0.2544,-0.4666,0.8514
2,2.396,-1.3995,-0.7044,0.0677,-0.00366,-0.9086,-0.6432,-0.596,0.8646
3.0003,0.9604,-0.4612,-0.7045,0.0645,-0.00429,-0.5119,-0.1643,-0.4631,0.8424
4,0.1219,-0.0698,-0.7591,0.0849,-0.00374,-0.4145,0.1235,-0.3925,0.8225
5,-0.8424,0.5316,-0.796,0.1033,-0.0018,-0.6213,0.5368,-0.2757,0.8088
7.5019,-1.9226,0.6376,-0.819,0.1455,-0.00066,-0.7574,0.6902,-0.2329,0.7808
10,-2.6033,0.5906,-0.8094,0.1609,-0.00106,-0.6855,0.7035,-0.2291,0.7624
0.011,5.2344,1.5853,-1.0154,0.214,-0.00341,-0.9161,1.1298,0.1481,0.6606
