Period,C1,C2,C3,C4,C5,C6,C7,C8,sigma
0.01,1.0378,-0.0397,-0.7943,0.1445,-0.00618,-0.7254,-0.0359,-0.0973,0.5685
0.02,1.0568,-0.0392,-0.7968,0.1455,-0.00617,-0.7323,-0.0393,-0.096,0.5684
0.03,1.1353,-0.0479,-0.8092,0.15,-0.0061,-0.7641,-0.0571,-0.0921,0.5681
0.04,1.3,-0.0702,-0.8315,0.1592,-0.00599,-0.8285,-0.0981,-0.0853,0.5676
0.05,1.4768,-0.0931,-0.8333,0.156,-0.00606,-0.8674,-0.1274,-0.0913,0.567
0.075,1.7022,-0.0516,-0.8072,0.1456,-0.00655,-0.8769,-0.1097,-0.0869,0.5663
0.1,1.6572,0.1508,-0.7759,0.131,-0.00708,-0.7783,0.0169,-0.0598,0.5659
0.15,1.9444,-0.0962,-0.75,0.1167,-0.00698,-0.6949,-0.1332,-0.1253,0.5659
0.2,1.8272,-0.0623,-0.7343,0.1194,-0.00677,-0.6438,-0.0957,-0.1192,0.5669
0.25,1.7438,-0.0253,-0.7248,0.1195,-0.00646,-0.6374,-0.0625,-0.1165,0.5678
0.3003,1.8056,-0.2702,-0.7319,0.1349,-0.00606,-0.6644,-0.1747,-0.1434,0.5708
0.4,1.8875,-0.3782,-0.7058,0.0996,-0.00589,-0.5877,-0.2442,-0.2189,0.5697
0.5,2.0376,-0.7959,-0.6973,0.1147,-0.00565,-0.5999,-0.4867,-0.2969,0.5739
0.75,1.9306,-0.8028,-0.7451,0.1122,-0.00503,-0.5946,-0.5012,-0.3499,0.5876
1,1.6038,-0.478,-0.8695,0.0732,-0.00569,-0.4159,0.0636,-0.3373,0.6269
1.4993,0.4774,0.9096,-1.0244,0.1106,-0.00652,-0.19,1.0961,-0.1066,0.7517
2,-0.2581,1.3777,-1.01,0.1031,-0.00539,-0.2734,1.5033,-0.0453,0.8036
3.0003,-0.9636,1.1469,-0.8853,0.1038,-0.00478,-0.4042,1.5413,-0.1102,0.8219
4,-1.4614,1.0795,-0.8049,0.1096,-0.00395,-0.4604,1.4196,-0.147,0.8212
5,-1.6116,0.7486,-0.781,0.0965,-0.00307,-0.4649,1.2409,-0.2217,0.824
7.5019,-2.3531,0.3519,-0.6434,0.0959,-0.00138,-0.6826,0.9288,-0.3123,0.7957
10,-3.2614,0.6973,-0.6276,0.1292,-0.00155,-0.6198,1.0105,-0.2455,0.7602
0.011,5.0709,0.5278,-0.8574,0.177,-0.00501,-0.6119,0.8066,-0.038,0.6417
