Period,AmSC1,SC1,SC2,SC3,SC4,c1,cSL1,cSL2,dSL,bSL,gSL,gSLL,eSLv,eSL,eSLH,gamma,S2,S3,S4,sigma,tau,sT,Amax_s1,Src_s1,Imf_s1,Ca_s1,Cb_s1,Amax_s2,Src_s2,Ca_s2,Cb_s2,Amax_s3,Src_s3,Ca_s3,Cb_s3,Amax_s4,Src_s4,Ca_s4,Cb_s4,sigmaS1,tauS1,sigmaST1,sigmaS2,tauS2,sigmaST2,sigmaS3,tauS3,sigmaST3,sigmaS4,tauS4,sigmaST4
0.01,1.228,1,1,1,1,-5.28844,1.454,0.38099,0.42075,0.01826,-1.9636,1.03278,-0.01503,-0.00331,-0.0005,-9.513,0.2289,0.1398,0.1328,0.587,0.458,0.745,1.916,8.429,0.91,-0.14,0.577,2.033,1.914,-0.353,0.537,1.905,1.117,-0.558,0.364,1.498,0.836,-0.807,0.0068,0.398,0.511,0.648,0.417,0.449,0.613,0.409,0.431,0.594,0.415,0.422,0.592
0.02,1.087,1,1,1,1.05,-5.27568,1.46625,0.39101,0.40055,0.01826,-1.91839,0.94715,-0.01517,-0.00345,-0.0005,-9.266,0.2183,0.126,0.1443,0.587,0.465,0.749,1.922,6.992,0.91,-0.154,0.5773,2.003,1.779,-0.3556667,0.527,1.894,1.124,-0.536,0.3643,1.474,0.83,-0.7616667,-0.0053,0.395,0.518,0.652,0.417,0.449,0.613,0.408,0.431,0.594,0.416,0.425,0.594
0.03,1.042,1,1,1,0.58,-5.26822,1.49246,0.41976,0.36433,0.01826,-1.89271,0.9342,-0.01567,-0.00391,-0.0005,-9.332,0.1874,0.0616,0.066,0.588,0.48,0.759,1.925,6.35,0.91,-0.1633333,0.5776,1.989,1.718,-0.3574444,0.5203333,1.886,1.13,-0.521,0.3646,1.46,0.826,-0.7314444,-0.013366667,0.389,0.537,0.663,0.418,0.449,0.614,0.409,0.43,0.593,0.417,0.422,0.593
0.04,1.035,1,1.006,1,0.482,-5.26293,1.50129,0.45746,0.32072,0.01826,-1.8726,0.97168,-0.01616,-0.00454,-0.0005,-9.508,0.1233,-0.0171,-0.0171,0.599,0.521,0.794,1.921,4.883,0.91,-0.1726667,0.57778,2.012,2.052,-0.3592222,0.5136667,1.833,1.151,-0.507,0.3648,1.374,0.768,-0.7012222,-0.021433333,0.387,0.572,0.691,0.42,0.456,0.62,0.413,0.428,0.595,0.42,0.431,0.602
0.05,1.047,1,0.851,1,0.472,-5.25882,1.51051,0.48601,0.3,0.01826,-1.85351,1.01492,-0.01676,-0.0051,-0.0005,-9.729,0.0721,-0.0633,-0.0731,0.607,0.555,0.823,1.959,5.043,0.91,-0.182,0.578,2.017,2.387,-0.361,0.507,1.854,1.24,-0.492,0.365,1.363,0.786,-0.671,-0.0295,0.387,0.586,0.702,0.422,0.479,0.639,0.409,0.429,0.592,0.422,0.439,0.609
0.06,1.071,1,0.803,1.044,0.506,-5.25547,1.5138,0.50311,0.31147,0.01826,-1.83395,1.06854,-0.01722,-0.00552,-0.0005,-9.966,0.027,-0.101,-0.1196,0.623,0.584,0.854,2.013,6.271,0.91,-0.1698,0.5978,2.064,2.834,-0.3332,0.5324,1.893,1.348,-0.4654,0.3972,1.384,0.838,-0.6478,0.0142,0.397,0.613,0.73,0.416,0.507,0.656,0.401,0.449,0.602,0.423,0.445,0.614
0.07,1.103,1,0.918,0.975,0.587,-5.25263,1.51111,0.50704,0.32673,0.01826,-1.81345,1.13401,-0.01752,-0.00588,-0.00049,-10.226,-0.0062,-0.1468,-0.1601,0.638,0.6,0.876,2.049,7.667,0.91,-0.1576,0.6176,2.103,3.294,-0.3054,0.5578,1.924,1.452,-0.4388,0.4294,1.425,0.926,-0.6246,0.0579,0.403,0.633,0.75,0.412,0.532,0.673,0.394,0.456,0.603,0.42,0.473,0.633
0.08,1.141,1,1.062,0.964,0.683,-5.25017,1.50406,0.50004,0.34289,0.01826,-1.79189,1.20364,-0.01768,-0.00615,-0.00048,-10.551,0.0157,-0.1448,-0.1243,0.651,0.598,0.884,2.046,9.034,0.91,-0.1454,0.6374,2.195,3.991,-0.2776,0.5832,1.974,1.583,-0.4122,0.4616,1.481,1.022,-0.6014,0.1016,0.413,0.643,0.765,0.412,0.555,0.692,0.389,0.455,0.599,0.423,0.491,0.648
0.09,1.184,1,1.106,0.98,0.782,-5.24801,1.49423,0.48071,0.35921,0.01826,-1.76931,1.25808,-0.01772,-0.00635,-0.00048,-10.807,0.0509,-0.1267,-0.0729,0.662,0.585,0.883,2.066,11.251,0.91,-0.1332,0.6572,2.219,4.466,-0.2498,0.6086,2.032,1.733,-0.3856,0.4938,1.525,1.118,-0.5782,0.1453,0.422,0.631,0.759,0.412,0.568,0.702,0.391,0.475,0.615,0.427,0.518,0.671
0.1,1.231,1,1.071,0.97,0.823,-5.24607,1.483,0.45759,0.37,0.01826,-1.74581,1.30112,-0.01768,-0.00652,-0.00048,-11.022,0.0956,-0.0932,-0.0146,0.674,0.567,0.881,2.1,14.817,0.91,-0.121,0.677,2.263,5.046,-0.222,0.634,2.052,1.841,-0.359,0.526,1.549,1.166,-0.555,0.189,0.429,0.626,0.759,0.418,0.566,0.704,0.394,0.507,0.642,0.426,0.559,0.703
