Period,SC1,SC2,SC3,SC4,c1,c2,cintD,cintS,dint,gammaintS,bint,gint,gintLD,gintLS,eintV,eintS,gammaint,RSF,S2,S3,S4,S5,S6,S7,sigma,tau,sT,SC1sigmaS,SC1tauS,SC1ST,SC2sigmaS,SC2tauS,SC2ST,SC3sigmaS,SC3tauS,SC3ST,SC4sigmaS,SC4tauS,SC4ST,Amax_s1,Src_s1,Ca_s1,Cb_s1,Ca_s2,Cb_s2,Ca_s3,Cb_s3,Amax_s2,Src_s2,Amax_s3,Src_s3,Amax_s4,Src_s4,Ca_s4,Cb_s4
0.01,1,1,1.165,1,-5.301,1.151,1.0997,1.3148,0.553,-3.8953,0.02,-2.0559,0.5454,1.1336,-0.01123,-0.00628,-4.4986,1.358,0.3129,-0.0043,0.2284,0.3129,-0.0043,0.2284,0.553,0.378,0.67,0.388,0.419,0.571,0.421,0.424,0.597,0.393,0.376,0.544,0.458,0.346,0.574,1.919,8.09,-0.14,0.577,-0.353,0.537,-0.558,0.364,2.027,1.883,1.908,1.114,1.498,0.836,-0.807,0.0068
0.02,1,1,1.012,1,-5.276,1.151,1.0923,1.3192,0.553,-3.8953,0.02,-2.1023,0.5617,1.1336,-0.01127,-0.00616,-4.2581,1.149,0.293,-0.0217,0.2089,0.293,-0.0217,0.2089,0.553,0.383,0.672,0.386,0.425,0.574,0.42,0.425,0.598,0.394,0.376,0.544,0.415,0.352,0.544,1.922,6.992,-0.154,0.5773,-0.3556667,0.527,-0.536,0.3643,2.003,1.779,1.894,1.124,1.474,0.83,-0.7616667,-0.0053
0.03,1,1,1.1,1,-5.268,1.151,1.1069,1.341,0.553,-3.8953,0.0207,-2.1923,0.5789,1.1336,-0.01158,-0.00572,-3.918,1.097,0.2287,-0.1129,0.1331,0.2287,-0.0829,0.1631,0.554,0.397,0.682,0.383,0.444,0.586,0.42,0.422,0.595,0.397,0.386,0.553,0.415,0.355,0.546,1.925,6.35,-0.1633333,0.5776,-0.3574444,0.5203333,-0.521,0.3646,1.989,1.718,1.886,1.13,1.46,0.826,-0.7314444,-0.013366667
0.04,1,0.843,0.959,0.557,-5.263,1.151,1.1158,1.3805,0.553,-3.8953,0.0231,-2.2464,0.4933,0.9881,-0.01203,-0.00532,-3.1142,1.065,0.1632,-0.1887,0.0696,0.1632,-0.1887,0.0596,0.564,0.428,0.708,0.386,0.474,0.611,0.42,0.434,0.604,0.394,0.393,0.557,0.421,0.362,0.555,1.921,4.883,-0.1726667,0.57778,-0.3592222,0.5136667,-0.507,0.3648,2.012,2.052,1.833,1.151,1.374,0.768,-0.7012222,-0.021433333
0.05,1,0.663,0.889,0.543,-5.259,1.151,1.1023,1.4325,0.553,-3.8953,0.0271,-2.2934,0.491,0.9044,-0.01256,-0.00503,-2.7604,1.037,0.1213,-0.2283,0.0285,0.1213,-0.2283,0.0085,0.569,0.463,0.734,0.386,0.486,0.62,0.419,0.44,0.608,0.399,0.384,0.554,0.419,0.375,0.562,1.959,5.043,-0.182,0.578,-0.361,0.507,-0.492,0.365,2.017,2.387,1.854,1.24,1.363,0.786,-0.671,-0.0295
0.06,1,0.841,0.946,0.574,-5.255,1.151,1.0861,1.4624,0.553,-3.8953,0.0297,-2.3117,0.5085,0.8877,-0.01312,-0.00528,-2.6409,1.038,0.1235,-0.2192,0.0007,0.1235,-0.2192,0.0007,0.583,0.487,0.759,0.386,0.5,0.632,0.419,0.449,0.614,0.398,0.379,0.55,0.42,0.388,0.571,2.013,6.271,-0.1698,0.5978,-0.3332,0.5324,-0.4654,0.3972,2.064,2.834,1.893,1.348,1.384,0.838,-0.6478,0.0142
0.07,1,1.029,1.006,0.648,-5.253,1.151,1.0729,1.4712,0.553,-3.8953,0.0321,-2.311,0.5275,0.9049,-0.01359,-0.00569,-2.6562,1.05,0.1397,-0.1901,-0.0095,0.1397,-0.1901,0.0055,0.602,0.501,0.783,0.389,0.531,0.658,0.42,0.466,0.628,0.412,0.377,0.558,0.42,0.41,0.587,2.049,7.667,-0.1576,0.6176,-0.3054,0.5578,-0.4388,0.4294,2.103,3.294,1.924,1.452,1.425,0.926,-0.6246,0.0579
0.08,1,1.235,1.065,0.721,-5.25,1.151,1.0638,1.4643,0.553,-3.8946,0.032,-2.2878,0.546,0.9421,-0.01382,-0.00619,-2.7527,1.103,0.1639,-0.155,-0.0049,0.1639,-0.155,0.0141,0.614,0.501,0.793,0.397,0.553,0.681,0.424,0.489,0.647,0.406,0.374,0.552,0.419,0.416,0.591,2.046,9.034,-0.1454,0.6374,-0.2776,0.5832,-0.4122,0.4616,2.195,3.991,1.974,1.583,1.481,1.022,-0.6014,0.1016
0.09,1,1.144,1.093,0.809,-5.248,1.151,1.0586,1.447,0.553,-3.9018,0.0297,-2.2468,0.5631,0.9865,-0.01393,-0.00673,-2.8992,1.192,0.205,-0.1125,0.0305,0.205,-0.1125,0.0405,0.625,0.495,0.797,0.402,0.559,0.688,0.425,0.521,0.672,0.406,0.381,0.557,0.419,0.435,0.604,2.066,11.251,-0.1332,0.6572,-0.2498,0.6086,-0.3856,0.4938,2.219,4.466,2.032,1.733,1.525,1.118,-0.5782,0.1453
0.1,1,1.092,1.077,1.015,-5.246,1.151,1.0567,1.4232,0.553,-3.9077,0.0279,-2.2041,0.5762,1.0355,-0.01395,-0.00718,-3.077,1.277,0.2445,-0.0751,0.0608,0.2445,-0.0751,0.0708,0.637,0.478,0.796,0.406,0.562,0.693,0.424,0.54,0.687,0.403,0.409,0.574,0.423,0.469,0.632,2.1,14.817,-0.121,0.677,-0.222,0.634,-0.359,0.526,2.263,5.046,2.052,1.841,1.549,1.166,-0.555,0.189
